rank,city,state,population,growth
557,Eden Prairie,Minnesota,62603,0.13
558,Cheyenne,Wyoming,62448,0.17
559,Daytona Beach,Florida,62316,-0.02
560,Alpharetta,Georgia,62298,0.34
561,Hamilton,Ohio,62258,0.03
562,Waltham,Massachusetts,62227,0.05
563,Coon Rapids,Minnesota,62103,0.01
564,Haverhill,Massachusetts,62088,0.05
565,Council Bluffs,Iowa,61969,0.06
566,Taylor,Michigan,61817,-0.06
567,Utica,New York,61808,0.02
568,Ames,Iowa,61792,0.21
569,La Habra,California,61653,0.04
570,Encinitas,California,61588,0.06
571,Bowling Green,Kentucky,61488,0.24
572,Burnsville,Minnesota,61434,0.02
573,Greenville,South Carolina,61397,0.08
574,West Des Moines,Iowa,61255,0.3
575,Cedar Park,Texas,61238,1.34
576,Tulare,California,61170,0.33
577,Monterey Park,California,61085,0.02
578,Vineland,New Jersey,61050,0.09
579,Terre Haute,Indiana,61025,0.03
580,North Miami,Florida,61007,0.02
581,Mansfield,Texas,60872,1.14
582,West Allis,Wisconsin,60697,-0.01
583,Bristol,Connecticut,60568,0
584,Taylorsville,Utah,60519,0.03
585,Malden,Massachusetts,60509,0.07
586,Meriden,Connecticut,60456,0.04
587,Blaine,Minnesota,60407,0.33
588,Wellington,Florida,60202,0.55
589,Cupertino,California,60189,0.14
590,Springfield,Oregon,60177,0.12
591,Rogers,Arkansas,60112,0.51
592,St. Clair Shores,Michigan,60070,-0.05
593,Gardena,California,59957,0.03
594,Pontiac,Michigan,59887,-0.11
595,National City,California,59834,0.1
596,Grand Junction,Colorado,59778,0.31
597,Rocklin,California,59738,0.6
598,Chapel Hill,North Carolina,59635,0.24
599,Casper,Wyoming,59628,0.2
600,Broomfield,Colorado,59471,0.5
601,Petaluma,California,59440,0.08
602,South Jordan,Utah,59366,1
603,Springfield,Ohio,59357,-0.1
604,Great Falls,Montana,59351,0.04
605,Lancaster,Pennsylvania,59325,0.05
606,North Port,Florida,59212,1.55
607,Lakewood,Washington,59097,0.01
608,Marietta,Georgia,59089,-0.04
609,San Rafael,California,58994,0.05
610,Royal Oak,Michigan,58946,-0.02
611,Des Plaines,Illinois,58918,0.03
